gs_step,col_step,particle_ht,ashdiam,part_density,fall_time,total_fall_time,plume_diffusion_fine_particle,plume_diffusion_coarse_particle,wind_speed,wind_direction,wind_sum_x,wind_sum_y,x_norm,step_norm,col_prob,cum_col_prob,suspended_mass
0,0,945.0975614297,0.1280000000,1000.0000000000,5.6964911911,5.6964911911,54.4975255890,0.0873510719,0.8795092954,0.0330940156,5.0073736294,0.1657746249,0.0100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,1,1276.1951228593,0.0000000000,0.0000000000,5.5826385837,11.2791297748,94.8857031995,0.3494042874,1.1876292132,0.0446878957,11.6308592138,0.4619614468,0.0200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,2,1607.2926842890,0.0000000000,0.0000000000,5.4710614851,16.7501912599,131.2422864101,0.7861596467,1.4957491311,0.0562817759,19.8012371736,0.9222909831,0.0300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,3,1938.3902457186,0.0000000000,0.0000000000,5.3617144161,22.1119056760,165.2056047381,1.3976171498,1.8038690489,0.0678756560,29.4507968419,1.5782688717,0.0400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,4,2269.4878071483,0.0000000000,0.0000000000,5.2545528063,27.3664584823,197.4934913383,2.1837767965,2.1119889667,0.0794695362,40.5133300349,2.4592586378,0.0500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,5,2600.5853685780,0.0000000000,0.0000000000,5.1495329760,32.5159914583,228.5060927252,3.1446385870,2.4201088845,0.0910634163,52.9241236018,3.5925622900,0.0600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,6,2931.6829300076,0.0000000000,0.0000000000,5.0466121189,37.5626035772,258.4968266470,4.2802025212,2.7282288023,0.1026572965,66.6199510074,5.0034987845,0.0700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,7,3262.7804914373,0.0000000000,0.0000000000,4.9457482837,42.5083518609,287.6396645289,5.5904685991,3.0363487202,0.1142511766,81.5390630008,6.7154803953,0.0800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,8,3593.8780528669,0.0000000000,0.0000000000,4.8469003581,47.3552522189,316.0609138856,7.0754368207,3.3444686380,0.1258450568,97.6211774206,8.7500870283,0.0900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,9,3924.9756142966,0.0000000000,0.0000000000,4.7500280510,52.1052802700,343.8561402637,8.7351071860,3.6525885558,0.1374389369,114.8074681858,11.1271385167,0.1000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,10,4256.0731757262,0.0000000000,0.0000000000,4.6550918770,56.7603721470,371.0999809900,10.5694796951,3.9607084736,0.1490328171,133.0405535198,13.8647649363,0.1100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,11,4587.1707371559,0.0000000000,0.0000000000,4.5620531396,61.3224252867,397.8522154771,12.5785543479,4.2688283915,0.1606266972,152.2644834531,16.9794749766,0.1200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,12,4918.2682985856,0.0000000000,0.0000000000,4.4708739159,65.7932992025,424.1617144710,14.7623311444,4.5769483093,0.1722205774,172.4247266495,20.4862224057,0.1300000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,13,5249.3658600152,0.0000000000,0.0000000000,4.3815170406,70.1748162431,450.0691160956,17.1208100846,4.8850682271,0.1838144575,193.4681565982,24.3984706652,0.1400000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,14,5580.4634214449,0.0000000000,0.0000000000,4.2939460916,74.4687623347,475.6087010231,19.6539911686,5.1931881449,0.1954083377,215.3430372130,28.7282556316,0.1500000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,15,5911.5609828745,0.0000000000,0.0000000000,4.2081253746,78.6768877093,500.8097439639,22.3618743962,5.5013080628,0.2070022178,237.9990078782,33.4862465808,0.1600000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,16,6242.6585443042,0.0000000000,0.0000000000,4.1240199086,82.8009076179,525.6975113533,25.2444597676,5.8094279806,0.2185960980,261.3870679803,38.6818053908,0.1700000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,17,6573.7561057339,0.0000000000,0.0000000000,4.0415954118,86.8425030297,550.2940132379,28.3017472827,6.1175478984,0.2301899781,285.4595609613,44.3230440185,0.1800000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,18,6904.8536671635,0.0000000000,0.0000000000,3.9608182877,90.8033213174,574.6185802153,31.5337369416,6.4256678162,0.2417838583,310.1701579305,50.4168802857,0.1900000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,19,7235.9512285932,0.0000000000,0.0000000000,3.8816556112,94.6849769286,598.6883131988,34.9404287441,6.7337877341,0.2533777384,335.4738408681,56.9690920090,0.2000000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,20,7567.0487900228,0.0000000000,0.0000000000,3.8040751151,98.4890520438,622.5184389980,38.5218226904,7.0419076519,0.2649716186,361.3268854543,63.9843695085,0.2100000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
0,21,7898.1463514525,0.0000000000,0.0000000000,3.7280451774,102.2170972212,646.1225949800,42.2779187804,7.3500275697,0.2765654987,387.6868435550,71.4663665285,0.2200000000,0.0100000000,1.0000000000,100.0000000000,171285242.6834871173
