# Northing Easting Elevation
5692178 432142 1
5692178 433142 1
5692178 434142 1
5692178 435142 1
5692178 436142 1
5692178 437142 1
5692178 438142 1
5692178 439142 1
5692178 440142 1
5692178 441142 1
5692178 442142 1
5692178 443142 1
5692178 444142 1
5692178 445142 1
5692178 446142 1
5692178 447142 1
5692178 448142 1
5692178 449142 1
5692178 450142 1
5692178 451142 1
5692178 452142 1
5692178 453142 1
5692178 454142 1
5692178 455142 1
5692178 456142 1
5692178 457142 1
5692178 458142 1
5692178 459142 1
5692178 460142 1
5692178 461142 1
5692178 462142 1
5692178 463142 1
5692178 464142 1
5692178 465142 1
5692178 466142 1
5692178 467142 1
5692178 468142 1
5692178 469142 1
5692178 470142 1
5692178 471142 1
5692178 472142 1
5692178 473142 1
5692178 474142 1
5692178 475142 1
5692178 476142 1
5692178 477142 1
5692178 478142 1
5692178 479142 1
5692178 480142 1
5692178 481142 1
5692178 482142 1
5692178 483142 1
5692178 484142 1
5692178 485142 1
5692178 486142 1
5692178 487142 1
5692178 488142 1
5692178 489142 1
5692178 490142 1
5692178 491142 1
5692178 492142 1
5692178 493142 1
5692178 494142 1
5692178 495142 1
5692178 496142 1
5692178 497142 1
5692178 498142 1
5692178 499142 1
5692178 500142 1
5692178 501142 1
5692178 502142 1
5692178 503142 1
5692178 504142 1
5692178 505142 1
5692178 506142 1
5692178 507142 1
5692178 508142 1
5692178 509142 1
5692178 510142 1
5692178 511142 1
5692178 512142 1
5692178 513142 1
5692178 514142 1
5692178 515142 1
5692178 516142 1
5692178 517142 1
5692178 518142 1
5692178 519142 1
5692178 520142 1
5692178 521142 1
5692178 522142 1
5692178 523142 1
5692178 524142 1
5692178 525142 1
5692178 526142 1
5692178 527142 1
5692178 528142 1
5692178 529142 1
5692178 530142 1
5692178 531142 1
5692178 532142 1
5692178 533142 1
5692178 534142 1
5692178 535142 1
5693178 432142 1
5693178 433142 1
5693178 434142 1
5693178 435142 1
5693178 436142 1
5693178 437142 1
5693178 438142 1
5693178 439142 1
5693178 440142 1
5693178 441142 1
5693178 442142 1
5693178 443142 1
5693178 444142 1
5693178 445142 1
5693178 446142 1
5693178 447142 1
5693178 448142 1
5693178 449142 1
5693178 450142 1
5693178 451142 1
5693178 452142 1
5693178 453142 1
5693178 454142 1
5693178 455142 1
5693178 456142 1
5693178 457142 1
5693178 458142 1
5693178 459142 1
5693178 460142 1
5693178 461142 1
5693178 462142 1
5693178 463142 1
5693178 464142 1
